noisy_word,correct_word
ahouse,house
houe,house
hoise,house
relatde,related
realted,related
relatec,related
securitgy,security
securithy,security
seurity,security
boyh,both
bth,both
j,g
cuonty,county
coutny,county
coudty,county
ammerican,american
ameriucan,american
amirican,american
photn,photo
phhoto,photo
phxoto,photo
gagme,game
gare,game
gae,game
memberws,members
embers,members
memers,members
pwoer,power
powber,power
ower,power
wahile,while
whvle,while
hwile,while
car,care
carr,care
are,care
netrork,network
netork,network
netwhrk,network
dowln,down
don,down
dovwn,down
compute,computer
coputer,computer
computevr,computer
systeqms,systems
asystems,systems
systiems,systems
lhree,three
thqee,three
thsree,three
toatl,total
gtotal,total
otal,total
plaie,place
plac,place
plae,place
enf,end
ens,end
follosing,following
followieg,following
followinl,following
downlad,download
dswnload,download
dwonload,download
n,h
hm,him
im,him
ihm,him
withoum,without
withoyut,without
withoubt,without
er,per
pew,per
yer,per
acceqss,access
accevs,access
agcess,access
thnk,think
thik,think
nhink,think
orth,north
nrth,north
resourcse,resources
resourecs,resources
rsources,resources
uurrent,current
currebnt,current
poets,posts
post,posts
ibg,big
bijg,big
meia,media
medga,media
mdeia,media
xaw,law
lagw,law
lan,law
controgl,control
nontrol,control
cntrol,control
wqater,water
qwater,water
wateb,water
histtory,history
historb,history
hitory,history
picturkes,pictures
pictres,pictures
picbures,pictures
sizfe,size
jize,size
sie,size
ar,art
abt,art
persoinal,personal
persoxnal,personal
prsonal,personal
hince,since
sine,since
signce,since
inclding,including
nicluding,including
includin,including
gubde,guide
guude,guide
gudie,guide
uhop,shop
sohp,shop
shpo,shop
direcntory,directory
drectory,directory
directoory,directory
bard,board
oard,board
baord,board
locvtion,location
loation,location
loctaion,location
cange,change
chagne,change
chcange,change
whit,white
whtie,white
tewt,text
tcxt,text
tetx,text
smawl,small
smal,small
lrating,rating
ratisg,rating
ratming,rating
razte,rate
rte,rate
trate,rate
ogvernment,government
governmint,government
goverynment,government
cchildren,children
chiuldren,children
chlildren,children
dkring,during
durinp,during
druing,during
qusa,usa
sa,usa
nusa,usa
retuwrn,return
roturn,return
retuen,return
tsudents,students
studens,students
wv,v
shoping,shopping
shoppinpg,shopping
cacount,account
ccount,account
tmes,times
imes,times
site,sites
gites,sites
sipes,sites
lavel,level
evel,level
leiel,level
djgital,digital
digitaml,digital
digita,digital
profise,profile
profiwe,profile
porfile,profile
uprevious,previous
prveious,previous
revious,previous
fozrm,form
fobm,form
fom,form
ecvents,events
evengs,events
evens,events
olve,love
loe,love
cld,old
wold,old
jonh,john
ohn,john
jozhn,john
mani,main
mkin,main
cal,call
icall,call
horus,hours
kours,hours
huors,hours
imagge,image
vimage,image
depatment,department
depatrment,department
dpeartment,department
jtitle,title
tite,title
descriptino,description
descirption,description
descriptiorn,description
onn,non
nol,non
nno,non
a,y
yy,y
insurnace,insurance
insurnce,insurance
insuriance,insurance
anothr,another
axnother,another
anther,another
wh,why
wsy,why
shal,shall
propetrty,property
propertq,property
propjrty,property
uclass,class
clasms,class
lass,class
id,cd
czd,cd
stil,still
stnill,still
oney,money
mhney,money
qualitg,quality
qualkity,quality
qualitv,quality
evere,every
evvery,every
veery,every
listin,listing
listijng,listing
listng,listing
contdent,content
ocntent,content
cotent,content
ocuntry,country
county,country
coultry,country
pirvate,private
prizate,private
rpivate,private
litwle,little
litptle,little
litlte,little
vsiit,visit
vrsit,visit
visi,visit
sale,save
aave,save
sae,save
ools,tools
toogls,tools
plow,low
lox,low
olw,low
replty,reply
repy,reply
repl,reply
ucstomer,customer
cutomer,customer
ccstomer,customer
dcember,december
decembre,december
deceber,december
compame,compare
ctmpare,compare
cmompare,compare
movie,movies
iovies,movies
moviges,movies
inculde,include
inlude,include
inclued,include
clolege,college
coslege,college
collee,college
vaule,value
vrlue,value
aritcle,article
articvle,article
artpcle,article
yord,york
yokr,york
mpn,man
an,man
cvard,card
nard,card
cacrd,card
joibs,jobs
jbos,jobs
prmvide,provide
proivde,provide
povide,provide
n,j
s,j
fodo,food
ofod,food
suorce,source
soeurce,source
sourzce,source
authpr,author
vuthor,author
authxr,author
diffrent,different
diffeent,different
ress,press
prbss,press
wu,u
iu,u
elarn,learn
lcarn,learn
luarn,learn
ale,sale
salge,sale
saue,sale
arolnd,around
aroud,around
prnit,print
prit,print
prnt,print
courzse,course
cjourse,course
cousre,course
jbo,job
jowb,job
ojb,job
anada,canada
prcess,process
proess,process
porcess,process
teoen,teen
ten,teen
temen,teen
nroom,room
oom,room
rdom,room
pstock,stock
sock,stock
stokc,stock
trainin,training
traning,training
trining,training
ctoo,too
tfoo,too
tooo,too
crdeit,credit
cerdit,credit
credti,credit
pqint,point
piont,point
jin,join
foin,join
joi,join
sfience,science
sciene,science
mwen,men
mn,men
mgen,men
uategories,categories
catgories,categories
categoried,categories
adanced,advanced
advnced,advanced
bdvanced,advanced
rest,west
ewst,west
owest,west
saes,sales
slaes,sales
lok,look
ljook,look
englith,english
neglish,english
lefo,left
laft,left
eft,left
qteam,team
etam,team
estatr,estate
setate,estate
destate,estate
borx,box
biox,box
dox,box
condistions,conditions
coditions,conditions
onditions,conditions
seelct,select
seleqct,select
elect,select
wipdows,windows
wcindows,windows
windws,windows
piotos,photos
qphotos,photos
photoy,photos
ay,gay
gaoy,gay
pgay,gay
threaqd,thread
therad,thread
thsead,thread
weeh,week
weeok,week
categroy,category
fategory,category
cstegory,category
noet,note
node,note
lve,live
livo,live
ive,live
parge,large
lage,large
galery,gallery
gallercy,gallery
galjlery,gallery
atble,table
teable,table
regsiter,register
regitser,register
registerr,register
howveer,however
hoaever,however
juze,june
jnue,june
juen,june
octoebr,october
octobe,october
octoer,october
nkvember,november
novemebr,november
markep,market
matrket,market
maket,market
librray,library
librar,library
readly,really
relaly,really
actioy,action
acton,action
actino,action
zstart,start
satrt,start
seraies,series
serie,series
serixs,series
odel,model
modeul,model
zodel,model
featues,features
featrues,features
feaures,features
iar,air
rir,air
indupstry,industry
industy,industry
indugstry,industry
puan,plan
plwan,plan
plnn,plan
hmuan,human
dprovided,provided
provded,provided
vtv,tv
eys,yes
yzes,yes
es,yes
requird,required
require,required
requierd,required
seconnd,second
seond,second
secpond,second
hobt,hot
hto,hot
accessoreis,accessories
acclssories,accessories
cosj,cost
cot,cost
cust,cost
move,movie
movfe,movie
moivie,movie
fdorums,forums
fcrums,forums
maich,march
arch,march
fa,la
septemer,september
septemebr,september
sptember,september
betdter,better
betkter,better
bettef,better
sxay,say
sya,say
asy,say
questiohs,questions
qucestions,questions
uqestions,questions
uly,july
ujly,july
oyahoo,yahoo
yaho,yahoo
goign,going
ugoing,going
goifng,going
medicac,medical
mpdical,medical
medicl,medical
tcst,test
tes,test
tegst,test
firend,friend
frixnd,friend
frliend,friend
cpme,come
comze,come
xec,dec
delc,dec
dewc,dec
lerver,server
serrver,server
serevr,server
jpc,pc
ic,pc
stuhdy,study
sudy,study
stwdy,study
applicatino,application
aplication,application
cgart,cart
acrt,cart
satff,staff
stafg,staff
staf,staff
artilces,articles
ajticles,articles
artices,articles
sn,san
wsan,san
fledback,feedback
feedbacok,feedback
feeback,feedback
agai,again
agaiz,again
agin,again
pliay,play
plaf,play
olay,play
looing,looking
lxooking,looking
oloking,looking
isseus,issues
sisues,issues
atpril,april
aprit,april
nveer,never
nevhr,never
nevr,never
usres,users
uses,users
complzete,complete
coyplete,complete
cyomplete,complete
stret,street
treet,street
stpeet,street
topci,topic
totpic,topic
typic,topic
coment,comment
commhent,comment
cmoment,comment
inancial,financial
finacial,financial
fionancial,financial
thigns,things
thingqs,things
thrings,things
workinsg,working
worikng,working
wroking,working
againts,against
againskt,against
gaainst,against
stabndard,standard
standaid,standard
stazndard,standard
jtax,tax
tadx,tax
taz,tax
perskn,person
persn,person
persobn,person
belw,below
oelow,below
bebow,below
mbile,mobile
moble,mobile
mobil,mobile
lesy,less
elss,less
gop,got
golt,got
kot,got
blsog,blog
bglog,blog
blg,blog
jarty,party
patry,party
part,party
pajment,payment
pyment,payment
paymet,payment
equimpent,equipment
equitment,equipment
eqzuipment,equipment
ljogin,login
lngin,login
olgin,login
stduent,student
studengt,student
sthdent,student
le,let
lte,let
rpograms,programs
prorgams,programs
offwers,offers
offetrs,offers
oxfers,offers
legxl,legal
lewal,legal
legail,legal
acove,above
bove,above
abovpe,above
receut,recent
rpecent,recent
rcent,recent
parg,park
para,park
par,park
tsores,stores
stors,stores
szide,side
sid,side
sside,side
adct,act
pvoblem,problem
problam,problem
ced,red
ed,red
rd,red
giev,give
gie,give
givhe,give
membry,memory
meory,memory
peuformance,performance
eprformance,performance
perfomance,performance
scoial,social
socila,social
soical,social
g,q
cq,q
ugust,august
uugust,august
eugust,august
rquote,quote
qutoe,quote
quyte,quote
flanguage,language
languag,language
longuage,language
tory,story
stfry,story
sels,sell
selfl,sell
seln,sell
rptions,options
optcions,options
optqions,options
expqerience,experience
ezperience,experience
exeprience,experience
rats,rates
raes,rates
ratems,rates
rceate,create
creatj,create
crehte,create
ke,key
keey,key
ey,key
bdoy,body
ebody,body
yovng,young
oung,young
aemrica,america
americea,america
maerica,america
miportant,important
importunt,important
fiedl,field
fiel,field
feild,field
ew,few
fez,few
ast,east
eastt,east
eats,east
pappr,paper
papwer,paper
singbe,single
singhe,single
mi,ii
mii,ii
agr,age
sge,age
activitieo,activities
activitie,activities
slub,club
clbu,club
olub,club
exeample,example
examle,example
xgirls,girls
gils,girls
grls,girls
additivnal,additional
additionzal,additional
paosword,password
pcssword,password
ppassword,password
pz,z
c,z
k,z
llatest,latest
altest,latest
atest,latest
somethimg,something
somethinfg,something
sometning,something
raod,road
xroad,road
roa,road
giift,gift
gft,gift
questin,question
quesiton,question
quesion,question
mchanges,changes
cghanges,changes
coanges,changes
nixht,night
nigh,night
ninght,night
qa,ca
cl,ca
hare,hard
hatrd,hard
hqrd,hard
texjs,texas
exas,texas
texsa,texas
otc,oct
onct,oct
ocj,oct
pa,pay
pgay,pay
founr,four
our,four
ofur,four
pokner,poker
pokpr,poker
pkker,poker
ztatus,status
statuvs,status
sttus,status
bowse,browse
rowse,browse
browsue,browse
issu,issue
isue,issue
issune,issue
rnage,range
rahnge,range
rang,range
buildin,building
buildnig,building
uilding,building
seler,seller
sellvr,seller
ocurt,court
cuort,court
feburary,february
februar,february
febraury,february
alwas,always
qlways,always
alwys,always
resrlt,result
rvsult,result
rksult,result
audi,audio
auxio,audio
auido,audio
ilght,light
lgiht,light
ligcht,light
wrtie,write
orite,write
rwite,write
uwar,war
awr,war
nv,nov
offre,offer
ffer,offer
ofer,offer
bleu,blue
blute,blue
gropus,groups
gruops,groups
rgoups,groups
la,al
uasy,easy
asy,easy
givne,given
givien,given
gien,given
filys,files
fies,files
fiies,files
vent,event
evet,event
evetn,event
rklease,release
releae,release
releame,release
analyis,analysis
analbsis,analysis
analyssi,analysis
reuqest,request
requesl,request
resuest,request
flx,fax
flax,fax
chicna,china
qchina,china
amking,making
maing,making
mking,making
pictyure,picture
picure,picture
pizcture,picture
cneeds,needs
neejs,needs
possbile,possible
poossible,possible
mvght,might
miught,might
professionual,professional
professionrl,professional
prfoessional,professional
yte,yet
yt,yet
uet,yet
moth,month
mnth,month
majfor,major
maor,major
ustar,star
sfar,star
stazr,star
arets,areas
ares,areas
mareas,areas
futuer,future
futrue,future
futube,future
pace,space
spcae,space
spac,space
committepe,committee
commitotee,committee
bhand,hand
haxnd,hand
and,hand
wun,sun
sn,sun
card,cards
chrds,cards
cads,cards
probelms,problems
rpoblems,problems
problemls,problems
londn,london
qlondon,london
lqndon,london
washingjton,washington
washinghton,washington
wsashington,washington
emeting,meeting
meting,meeting
meering,meeting
rs,rss
rsv,rss
becomw,become
wbecome,become
brcome,become
ivnterest,interest
interzest,interest
interes,interest
td,id
itd,id
chibd,child
hild,child
ikeep,keep
eep,keep
kkeep,keep
entr,enter
eater,enter
californira,california
californnia,california
aclifornia,california
aporn,porn
podn,porn
prn,porn
shre,share
xshare,share
sharme,share
shimilar,similar
sivmilar,similar
agrden,garden
ggarden,garden
grarden,garden
aschools,schools
schoows,schools
shools,schools
mollion,million
illion,million
millin,million
adde,added
addeid,added
dded,added
referece,reference
refsrence,reference
roference,reference
cmopanies,companies
compaines,companies
ilsted,listed
lised,listed
listfed,listed
babz,baby
bauy,baby
babs,baby
learnin,learning
leanring,learning
wearning,learning
enerny,energy
enery,energy
eenrgy,energy
ru,run
rin,run
elivery,delivery
delivey,delivery
deilvery,delivery
neot,net
nwet,net
aet,net
populfr,popular
poular,popular
opular,popular
tecm,term
trm,term
ilm,film
iflm,film
fil,film
svtories,stories
rtories,stories
stnries,stories
upt,put
xput,put
compuetrs,computers
compters,computers
computerls,computers
jornal,journal
jolrnal,journal
jourxal,journal
repcrts,reports
reportl,reports
reprts,reports
to,co
thry,try
trry,try
rty,try
welcmoe,welcome
elcome,welcome
cetnral,central
pentral,central
csntral,central
imagks,images
image,images
imagehs,images
prnesident,president
presiednt,president
resident,president
notic,notice
notikce,notice
noice,notice
go,god
gd,god
ggod,god
orilginal,original
ozriginal,original
originnal,original
hend,head
heda,head
rado,radio
rodio,radio
rdaio,radio
util,until
untcil,until
untiv,until
cnll,cell
cel,cell
qcolor,color
clor,color
colou,color
oself,self
eslf,self
sel,self
councill,council
councl,council
coucil,council
awway,away
awy,away
awwy,away
includies,includes
invcludes,includes
uncludes,includes
trck,track
trcak,track
austrlia,australia
austalia,australia
kdiscussion,discussion
dsicussion,discussion
discossion,discussion
archvve,archive
arychive,archive
dnce,once
oce,once
onnce,once
other,others
othres,others
otlhers,others
etertainment,entertainment
entertainmnet,entertainment
ientertainment,entertainment
agreemsnt,agreement
agreemnt,agreement
aigreement,agreement
forhat,format
formaa,format
formwt,format
leasjt,least
lesst,least
lnast,least
societwy,society
soceity,society
sociecy,society
onths,months
monhs,months
mnnths,months
bog,log
slog,log
safetq,safety
saftey,safety
safty,safety
riends,friends
driends,friends
firends,friends
surpe,sure
sqre,sure
suee,sure
fa,faq
foq,faq
arade,trade
lrade,trade
thade,trade
eyition,edition
zdition,edition
edtion,edition
caras,cars
crs,cars
cas,cars
messanes,messages
messfages,messages
mharketing,marketing
marketinog,marketing
tll,tell
ell,tell
teull,tell
furtfer,further
uurther,further
updatd,updated
upated,updated
pdated,updated
asstciation,association
associaton,association
abe,able
ale,able
abmle,able
havin,having
hvaing,having
htving,having
provies,provides
prvides,provides
lrovides,provides
advid,david
avid,david
mavid,david
aun,fun
kfun,fun
alraedy,already
alreody,already
aslready,already
reen,green
gree,green
gdeen,green
stnudies,studies
studis,studies
wstudies,studies
iclose,close
slose,close
closw,close
commo,common
cdmmon,common
comomn,common
dive,drive
rdive,drive
driv,drive
specifci,specific
specifi,specific
specifyc,specific
sevearl,several
esveral,several
sevral,several
goly,gold
godl,gold
fb,feb
feh,feb
fbe,feb
livting,living
lviing,living
osep,sep
esp,sep
sp,sep
collcection,collection
collectiox,collection
colelction,collection
calleqd,called
callez,called
callde,called
shotr,short
hort,short
sohrt,short
narts,arts
rats,arts
rts,arts
lto,lot
sk,ask
tsk,ask
ak,ask
dsplay,display
dislay,display
displlay,display
timited,limited
limitec,limited
lirmited,limited
powerez,powered
pbwered,powered
powesred,powered
solucions,solutions
oslutions,solutions
soutions,solutions
mears,means
ameans,means
dircetor,director
directgor,director
direcotr,director
daliy,daily
dialy,daily
beakch,beach
beahc,beach
bech,beach
apst,past
pas,past
nathral,natural
naural,natural
ntaural,natural
whetehr,whether
hwether,whether
whther,whether
ue,due
ude,due
eledtronics,electronics
celectronics,electronics
electornics,electronics
fie,five
live,five
fiave,five
urpon,upon
upno,upon
pon,upon
plriod,period
pseriod,period
perfod,period
planninm,planning
lpanning,planning
planniing,planning
dratabase,database
jatabase,database
databse,database
sasy,says
wsays,says
fficial,official
officila,official
officiail,official
weahter,weather
wweather,weather
wreather,weather
nmar,mar
mra,mar
amr,mar
latd,land
laad,land
lad,land
iaverage,average
avergae,average
averag,average
idone,done
donce,done
trechnical,technical
technlical,technical
techniclal,technical
iwndow,window
windotw,window
frnace,france
fracne,france
fance,france
xro,pro
pr,pro
rehion,region
vregion,region
ergion,region
isaland,island
siland,island
islband,island
recor,record
recold,record
rekcord,record
drect,direct
bdirect,direct
ditrect,direct
mcirosoft,microsoft
microaoft,microsoft
micrsooft,microsoft
conferefce,conference
conferince,conference
bconference,conference
enviroment,environment
envirpnment,environment
recrods,records
recors,records
zst,st
dstrict,district
ldistrict,district
disrtict,district
calejndar,calendar
calenvdar,calendar
aclendar,calendar
csts,costs
cost,costs
stye,style
stle,style
stylu,style
urfl,url
zrl,url
xront,front
frnt,front
froct,front
statemeent,statement
statemenot,statement
satement,statement
udate,update
upadte,update
updade,update
pars,parts
farts,parts
aarts,parts
naug,aug
axg,aug
evei,ever
evew,ever
eve,ever
downlads,downloads
edownloads,downloads
downloadu,downloads
erly,early
eary,early
yearly,early
mvles,miles
mles,miles
jmiles,miles
sund,sound
soun,sound
sounad,sound
resuorce,resource
resourec,resource
resourjce,resource
prseent,present
pbresent,present
apbplications,applications
applicatinos,applications
applicartions,applications
xither,either
eiter,either
eieher,either
agh,ago
gao,ago
abgo,ago
odcument,document
gord,word
wojd,word
wokrs,works
woris,works
woks,works
marerial,material
aterial,material
materiak,material
bivl,bill
ill,bill
biull,bill
apy,apr
apo,apr
aprr,apr
writen,written
wirtten,written
writtne,written
thalk,talk
salk,talk
tal,talk
fedeyal,federal
ederal,federal
fedefal,federal
osting,hosting
hostig,hosting
hostinag,hosting
ruleg,rules
ruls,rules
rvles,rules
efinal,final
fial,final
fnal,final
adlt,adult
ardult,adult
dault,adult
tickts,tickets
ticktes,tickets
tickhts,tickets
tming,thing
hting,thing
xhing,thing
cetre,centre
cehtre,centre
requiremenst,requirements
requurements,requirements
vil,via
vdia,via
vir,via
cleap,cheap
ceap,cheap
hcheap,cheap
nued,nude
nuds,nude
ndue,nude
kidj,kids
kidt,kids
ids,kids
finnce,finance
finnace,finance
fineance,finance
treu,true
trvue,true
truye,true
minuteh,minutes
sminutes,minutes
inutes,minutes
lse,else
els,else
lese,else
amrk,mark
makr,mark
mhrk,mark
thmird,third
tird,third
rlck,rock
rqock,rock
gifti,gifts
wifts,gifts
bgifts,gifts
europ,europe
eurpe,europe
europs,europe
roading,reading
readirg,reading
rading,reading
popics,topics
otpics,topics
topeics,topics
bda,bad
ad,bad
ba,bad
indiivdual,individual
indivieual,individual
indivinual,individual
tip,tips
tipqs,tips
itips,tips
pltus,plus
lus,plus
flus,plus
uto,auto
aunto,auto
auta,auto
coler,cover
cver,cover
tover,cover
usally,usually
uscally,usually
usualy,usually
esit,edit
edir,edit
edif,edit
togethre,together
togethr,together
viedos,videos
virdeos,videos
pecent,percent
percenn,percent
jercent,percent
fats,fast
famst,fast
faust,fast
functioyn,function
functin,function
facbt,fact
act,fact
cact,fact
nuit,unit
univ,unit
unti,unit
gteting,getting
egtting,getting
gettiag,getting
gloabl,global
uglobal,global
tehch,tech
teh,tech
xmeet,meet
mzet,meet
met,meet
fab,far
ar,far
econovmic,economic
seconomic,economic
